         dataset	          class_	      n_in_class	     getfp_label	similarity_label	       top-1 acc	       top-3 acc	       top-5 acc	      top-10 acc	      top-20 acc	      top-50 acc
            test	               2	            1190	   Morgan2noFeat	            Dice	0.6092436974789915	0.8428571428571429	0.9033613445378151	0.946218487394958	0.9554621848739496	0.9563025210084034
            test	               1	            1516	   Morgan2noFeat	            Dice	0.4821899736147757	0.6840369393139841	0.7763852242744064	0.8693931398416886	0.9182058047493403	0.9261213720316622
            test	             all	            5007	   Morgan2noFeat	            Dice	0.36568803674855205	0.5528260435390453	0.6383063710804873	0.7487517475534252	0.8268424206111444	0.8554024365887757
            test	              10	              23	   Morgan2noFeat	        TverskyA	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695
            test	               9	             184	   Morgan2noFeat	        TverskyA	0.43478260869565216	0.5760869565217391	0.6358695652173914	0.717391304347826	0.8695652173913043	0.9184782608695652
            test	               8	              82	   Morgan2noFeat	        TverskyA	0.8292682926829268	0.9634146341463414	0.975609756097561	0.9878048780487805	0.9878048780487805	0.9878048780487805
            test	               7	             462	   Morgan2noFeat	        TverskyA	0.5584415584415584	0.7510822510822511	0.8225108225108225	0.9025974025974026	0.9177489177489178	0.9264069264069265
            test	               6	             824	   Morgan2noFeat	        TverskyA	0.5012135922330098	0.8033980582524272	0.8980582524271845	0.9466019417475728	0.962378640776699	0.962378640776699
            test	               5	              68	   Morgan2noFeat	        TverskyA	0.8382352941176471	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176
            test	               4	              91	   Morgan2noFeat	        TverskyA	0.4835164835164835	0.6593406593406593	0.6703296703296703	0.6703296703296703	0.6703296703296703	0.6703296703296703
            test	               3	             567	   Morgan2noFeat	        TverskyA	0.3915343915343915	0.562610229276896	0.6261022927689595	0.7407407407407407	0.8253968253968254	0.8606701940035273
            test	               2	            1190	   Morgan2noFeat	        TverskyA	0.6126050420168068	0.8453781512605042	0.9084033613445378	0.9453781512605042	0.9563025210084034	0.9571428571428572
            test	               1	            1516	   Morgan2noFeat	        TverskyA	0.48284960422163586	0.6860158311345647	0.7717678100263852	0.866754617414248	0.9149076517150396	0.9228232189973615
            test	             all	            5007	   Morgan2noFeat	        TverskyA	0.36428999400838824	0.5520271619732374	0.6419013381266228	0.7491511883363291	0.8262432594367884	0.8544038346315159
            test	              10	              23	   Morgan2noFeat	        TverskyB	0.9565217391304348	0.9565217391304348	0.9565217391304348	0.9565217391304348	0.9565217391304348	0.9565217391304348
            test	               9	             184	   Morgan2noFeat	        TverskyB	0.44021739130434784	0.5543478260869565	0.6141304347826086	0.7282608695652174	0.842391304347826	0.9130434782608695
            test	               8	              82	   Morgan2noFeat	        TverskyB	0.8170731707317073	0.9390243902439024	0.975609756097561	0.9878048780487805	0.9878048780487805	0.9878048780487805
            test	               7	             462	   Morgan2noFeat	        TverskyB	0.551948051948052	0.7489177489177489	0.8311688311688312	0.8896103896103896	0.9134199134199135	0.9177489177489178
            test	               6	             824	   Morgan2noFeat	        TverskyB	0.508495145631068	0.7997572815533981	0.8968446601941747	0.9502427184466019	0.9587378640776699	0.9599514563106796
            test	               5	              68	   Morgan2noFeat	        TverskyB	0.8676470588235294	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176
            test	               4	              91	   Morgan2noFeat	        TverskyB	0.4945054945054945	0.6813186813186813	0.6813186813186813	0.6813186813186813	0.6813186813186813	0.6813186813186813
            test	               3	             567	   Morgan2noFeat	        TverskyB	0.400352733686067	0.5537918871252204	0.63668430335097	0.7601410934744268	0.8395061728395061	0.8641975308641975
            test	               2	            1190	   Morgan2noFeat	        TverskyB	0.6016806722689075	0.8327731092436975	0.8932773109243698	0.9504201680672268	0.9588235294117647	0.9588235294117647
            test	               1	            1516	   Morgan2noFeat	        TverskyB	0.48350923482849606	0.6866754617414248	0.7783641160949868	0.8726912928759895	0.9215039577836411	0.9287598944591029
            test	             all	            5007	   Morgan2noFeat	        TverskyB	0.36369083283403236	0.5460355502296784	0.6303175554224086	0.7435590173756741	0.8258438186538846	0.8577990812861993
            test	              10	              23	   Morgan3noFeat	        Tanimoto	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695
            test	               9	             184	   Morgan3noFeat	        Tanimoto	0.43478260869565216	0.5597826086956522	0.6032608695652174	0.7228260869565217	0.8478260869565217	0.9130434782608695
            test	               8	              82	   Morgan3noFeat	        Tanimoto	0.8170731707317073	0.9390243902439024	0.9634146341463414	0.9878048780487805	0.9878048780487805	0.9878048780487805
